id,name,operator
6633074,740: Anand Vihar ISBT -> Uttam Nagar Terminal,Unknown Operator
6633896,740: Uttam Nagar Terminal -> Anand Vihar ISBT,Unknown Operator
6634343,85: Anand Vihar ISBT → Punjabi Bagh Terminal,Unknown Operator
6634344,534: Anand Vihar ISBT -> Mehrauli,Unknown Operator
6634345,534: Mehrauli -> Anand Vihar ISBT,Unknown Operator
6634347,85EXT: West Enclave → Anand Vihar ISBT,Unknown Operator
6634348,85EXT: Anand Vihar ISBT -> West Enclave,Unknown Operator
6634349,534A: Anand Vihar ISBT -> IGI Airport,Unknown Operator
6634350,534A: IGI Airport -> Anand Vihar ISBT,Unknown Operator
6634351,740A: Manglapuri -> Anand Vihar ISBT,Unknown Operator
6634352,740A: Anand Vihar ISBT -> Manglapuri,Unknown Operator
6634353,740Extra: Anand Vihar ISBT => Uttam Nagar Terminal,Unknown Operator
6634354,740Extra: Uttam Nagar Terminal => Anand Vihar ISBT,Unknown Operator
6639422,85: Punjabi Bagh Terminal → Anand Vihar ISBT,DTC
6642987,73: Hari Nagar Clock Tower → Anand Vihar ISBT,Unknown Operator
6642988,73: Anand Vihar ISBT → Hari Nagar Clock Tower,Unknown Operator
7457580,IITD Route 1,IIT Delhi
7460411,764: Najafgarh Sai Baba Mandir → Nehru Place,Delhi Transport Corporation
7460412,620: Shivaji Stadium -> Hauz Khas Metro Station,Delhi Transport Corporation
7481308,Unnamed Route,Unknown Operator
7599189,Unnamed Route,Delhi Transport Corporation
7611273,765,Delhi Transport Corporation
7611274,750,Delhi Transport Corporation
7611275,644,Delhi Transport Corporation
7611276,507: Dhaula Kuan -> Okhla Extension,Delhi Transport Corporation
7611277,OMS EXP.,Delhi Transport Corporation
7611278,764EXT: Najafgarh Sai Baba Mandir =>,Delhi Transport Corporation
7611279,548EXT,Delhi Transport Corporation
7611280,548CL,Delhi Transport Corporation
7611282,542 (1),Delhi Transport Corporation
7611283,520,Delhi Transport Corporation
7611284,512: Ambedkar Nagar Terminal -> RK Puram Sector 1,Delhi Transport Corporation
7611285,511A: Badarpur Border -> Dhaula Kuan,Delhi Transport Corporation
7611286,511: Badarpur Border ->,Delhi Transport Corporation
7611287,465,Delhi Transport Corporation
7611288,448CL,Delhi Transport Corporation
7611289,448B,Delhi Transport Corporation
7611290,448: Punjabi Bagh Terminal -> Hamdard Nagar,Delhi Transport Corporation
7611291,335 (2),Delhi Transport Corporation
7611292,548: Minto Road Terminal -> Hamdard Nagar Terminal,Delhi Transport Corporation
7611293,520,Delhi Transport Corporation
7611294,512: Rama Krishna Puram Sector 1 => Ambedkar Nagar Terminal,Delhi Transport Corporation
7611295,503,Delhi Transport Corporation
7916286,764: Nehru Place -> Najafgarh Sai Baba Mandir,Delhi Transport Corporation
7917858,890: Kendriya Terminal,Delhi Transport Corporation
7917859,793: H-3 Vikas Puri Terminal -> Delhi Secretariat (Rajhghat Power House),Delhi Transport Corporation
7917860,783 (2),Delhi Transport Corporation
7917861,720: Janakpuri B-1 Terminal -> Shahdara,Delhi Transport Corporation
7917862,641 (2),Delhi Transport Corporation
7917863,630 (2),Delhi Transport Corporation
7917864,890: Hastsal Village LIG Flats,Delhi Transport Corporation
7917865,793: Delhi Secretariat (Rajghat Power House) -> H-3 Vikas Puri Terminal,Delhi Transport Corporation
7917866,783 (1),Delhi Transport Corporation
7917867,720: Shahdara -> Janakpuri B-1 Terminal,Delhi Transport Corporation
7917868,641 (1),Delhi Transport Corporation
7917869,630 (1),Delhi Transport Corporation
7917870,604: Lado Sarai Terminal -> New Delhi Railway Station Gate Number 2,Unknown Operator
7917871,620: Hauz Khas Metro Station -> Shivaji Stadium,Delhi Transport Corporation
7917872,604: New Delhi Railway Station Gate Number 2 -> Lado Sarai Terminal,Unknown Operator
7917873,535 (2),Unknown Operator
7917874,535 (1),Unknown Operator
7918161,RL-79: Dwarka Sector 23 -> New Delhi Railway Station Gate #2,Unknown Operator
7918162,RL-77: Manglapuri Terminal -> New Delhi Railway Station Gate Number 2,Unknown Operator
7918163,(-) Gr. Mudrika: Uttam Nagar Terminal => Anand Vihar ISBT,Unknown Operator
7918164,790: Kapashera Border => Najafgarh Terminal,Unknown Operator
7918165,773 (2),Unknown Operator
7918166,771 (2),Unknown Operator
7918167,770A: Delhi Secretariat,Unknown Operator
7918168,760 (2),Unknown Operator
7918169,752 (2),Unknown Operator
7918170,740EXT: Uttam Nagar Terminal -> Anand Vihar ISBT,Unknown Operator
7918171,729: Kapashera Border → Kashmere Gate,Unknown Operator
7918172,723: Manglapuri Terminal => Anand Vihar ISBT,Unknown Operator
7918173,722 (2),Unknown Operator
7918174,716 (2),Unknown Operator
7918175,706 (2),Unknown Operator
7918176,704 (2),Unknown Operator
7918177,703 (2),Unknown Operator
7918178,072 (2),Unknown Operator
7918179,077 (2),Unknown Operator
7918180,(+) Gr. Mudrika: => Uttam Nagar Terminal,Unknown Operator
7918181,RL-79: New Delhi Railway Station Gate #2 -> Dwarka Sector 23,Unknown Operator
7918182,RL-77: New Delhi Railway Station Gate Number 2 -> Manglapuri Terminal,Unknown Operator
7918183,790: Najafgarh Terminal => Kapashera Border,Unknown Operator
7918184,773 (1),Unknown Operator
7918185,771 (1),Unknown Operator
7918186,770: Delhi Secretariat =>,Unknown Operator
7918187,760 (1),Unknown Operator
7918188,752 (1),Unknown Operator
7918189,740EXT: Anand Vihar ISBT -> Uttam Nagar Terminal,Unknown Operator
7918190,729: Kashmere Gate → Kapashera Border,Unknown Operator
7918191,723: Anand Vihar ISBT -> Manglapuri Terminal,Unknown Operator
7918192,722 (1),Unknown Operator
7918193,716 (1),Unknown Operator
7918194,706 (1),Unknown Operator
7918195,704 (1),Unknown Operator
7918196,703 (1),Unknown Operator
7918197,077 (1),Unknown Operator
7918198,072 (1),Unknown Operator
7918840,781: New Delhi Railway Station Gate Number 2 => Dwarka Sector 16C,Unknown Operator
7918841,680: Kendriya Terminal -> Ambedkar Nagar Sector 4,Unknown Operator
7918842,660 (1),Unknown Operator
7918843,602 (1),Unknown Operator
7919368,GL-83 (1),Unknown Operator
7919369,864 (1),Unknown Operator
7919370,780: New Delhi Railway Station Gate Number 2 => Indira Gandhi International Airport T2,Unknown Operator
7919371,737 (1),Unknown Operator
7919372,711EXT (1),Unknown Operator
7919373,711: Sarai Kale Khan ISBT => Uttam Nagar Terminal,Unknown Operator
7919374,561 (1),Unknown Operator
7919675,745 (1),Unknown Operator
7919676,719 (1),Unknown Operator
7919677,621: Mori Gate -> Poorvanchal Hostel,Unknown Operator
7919678,66 (1),Unknown Operator
7919780,578: Najafgarh → Safdarjung Terminal,Unknown Operator
7919806,336 (1),Delhi Transport Corporation
7920414,725: Indrapuri Krishi Kunj =>,Unknown Operator
7920415,536 (1),Unknown Operator
7920416,523: Dhaula Kuan → Bhati Mines,Unknown Operator
7920417,533 (1),Unknown Operator
7920418,519: Safdarjung Terminal -> Mandi Gaon,Unknown Operator
7920419,517: => Aaya Nagar,Unknown Operator
7920420,516: Safdarjung Terminal -> Dera Gaon,Unknown Operator
7920421,509 (1),Unknown Operator
7920422,506 (1),Unknown Operator
7920423,502: Old Delhi Railway Station -> Mehrauli Terminal,Unknown Operator
7920424,501 (1),Unknown Operator
7920491,Gurgaon - S.J. Terminal (2),Unknown Operator
7920492,886 (2),Unknown Operator
7920493,717: Badarpur Border -> Shahbad Mohammadpur,Unknown Operator
7920494,715: Dwarka Sector 2 Bus Depot -> Mehrauli,Delhi Transport Corporation
7920495,714 (2),Unknown Operator
7920496,539: -> Mehrauli Terminal,Unknown Operator
7920497,536 (2),Unknown Operator
7920498,525 (2),Unknown Operator
7920499,523: Bhati Mines → Dhaula Kuan,Unknown Operator
7920500,519: Mandi Gaon → Safdarjung Terminal,Unknown Operator
7920501,517: Aaya Nagar =>,Unknown Operator
7920502,516: Dera Gaon -> Safdarjung Terminal,Unknown Operator
7920503,506 (2),Unknown Operator
7920504,463: Kalkaji Depot -> Mehrauli Terminal,Unknown Operator
7920505,427: Nizamuddin Railway Station -> Mehrauli Terminal,Unknown Operator
7920506,34: Noida Sector 37 -> Mehrauli,Unknown Operator
7921434,994 (2),Delhi Transport Corporation
7921435,970: Jawaharlal Nehru Stadium -> Avantika,Delhi Transport Corporation
7921436,940 (2),Delhi Transport Corporation
7921437,930 (2),Delhi Transport Corporation
7921438,920 (2),Delhi Transport Corporation
7921439,910 (2),Delhi Transport Corporation
7921440,880 (2),Delhi Transport Corporation
7921441,858 (2),Delhi Transport Corporation
7921442,820 (2),Delhi Transport Corporation
7921443,725: => Indrapuri Krishi Kunj,Unknown Operator
7921444,680: Ambedkar Nagar Sector 4 -> Kendriya Terminal,Unknown Operator
7921445,616 (2),Unknown Operator
7921447,580: Ambedkar Nagar Sector 4 => Kendriya Terminal,Unknown Operator
7921448,558 (2),Unknown Operator
7921449,540: Tara Apartment -> Kendriya Terminal,Unknown Operator
7921450,481 (2),Unknown Operator
7921451,480: Kendriya Terminal -> DDA Flats Kalkaji,Unknown Operator
7921452,470 (2),Unknown Operator
7921453,430 (1),Unknown Operator
7921454,410: Jal Vihar Terminal -> Khyala JJ Colony,Unknown Operator
7921455,408E: Raghubir Nagar,Unknown Operator
7921456,391: Kendriya Terminal -> Kalyanpuri,Unknown Operator
7921457,390: Kendriya Terminal -> Trilokpuri 13 Block,Unknown Operator
7921458,381 (2),Unknown Operator
7921459,380 (2),Unknown Operator
7921460,378: Kendriya Terminal -> Mayur Vihar Phase 3,Unknown Operator
7921461,370 (2),Unknown Operator
7921462,349: Kendriya Terminal -> Mayur Vihar Phase 2,Unknown Operator
7921463,342 (2),Unknown Operator
7921464,340 (2),Unknown Operator
7921465,320: Kendriya Terminal -> Shahdara Terminal,Unknown Operator
7921466,310: Indrapuri (Krishi Kunj) -> Jheel Terminal,Unknown Operator
7921467,300 (2),Unknown Operator
7921468,280 (2),Unknown Operator
7921469,270,Unknown Operator
7921470,265 (2),Unknown Operator
7921471,260 (2),Unknown Operator
7921472,220 (2),Unknown Operator
7921473,210: Kendriya Terminal =>,Unknown Operator
7921474,196 (2),Unknown Operator
7921475,188 (2),Unknown Operator
7921476,185: Kendriya Terminal =>,Unknown Operator
7921477,120 (2),Unknown Operator
7921478,047 (2),Unknown Operator
7921479,016 (2),Unknown Operator
7921520,100EXT,Unknown Operator
7921521,100: Adarsh Nagar,Unknown Operator
7921522,091 (2),Unknown Operator
7921523,010 (2),Unknown Operator
7921524,100EXT: Kendriya Terminal,Unknown Operator
7921525,100: Kendriya Terminal,Unknown Operator
7921526,091 (1),Unknown Operator
7921527,010 (1),Unknown Operator
7922641,EXPRESS (2),Delhi Transport Corporation
7922642,703A (2),Unknown Operator
7928455,419: Ambedkar Nagar Terminal -> Old Delhi Railway Station,Unknown Operator
7928456,490 (1),Unknown Operator
7928457,425A (1),Unknown Operator
7928458,727: Jawaharlal Nehru Stadium => Dwarka Mor Metro Station,Unknown Operator
7928459,445: New Delhi Railway Station → Hamdard Nagar Terminal,Unknown Operator
7928460,430 (2),Unknown Operator
7928461,425: Old Delhi Railway Station -> Hamdard Nagar,Unknown Operator
7928462,423: Mori Gate Terminal -> Ambedkar Nagar Terminal,Unknown Operator
7928463,419A (1),Unknown Operator
7928464,419: Old Delhi Railway Station -> Ambedkar Nagar Terminal,Unknown Operator
7928465,404EXT (1),Unknown Operator
7928466,404 (1),Unknown Operator
7928467,374: Nand Nagri Terminal => Nehru Place Terminal,Unknown Operator
7929053,724: Nehru Place Terminal => Uttam Nagar Terminal,Unknown Operator
7929054,544: Badarpur Border -> RK Puram Sector 1,Unknown Operator
7929055,522: Ambedkar Nagar Terminal -> Indrapuri (Krishi Kunj),Unknown Operator
7929056,522SPL: -> New Delhi Railway Station Gate Number 2,Unknown Operator
7929057,521: Karampura Terminal -> Ambedkar Nagar Sector 4,Unknown Operator
7929058,490 (2),Unknown Operator
7929059,423: Ambedkar Nagar Terminal -> Mori Gate Terminal,Unknown Operator
7930953,629 (1),Unknown Operator
7930954,546 (1),Unknown Operator
7931500,680EXT (1),Delhi Transport Corporation
7931502,611: Dhaula Kuan -> Mayur Vihar Phase 3,Delhi Transport Corporation
7931503,601 (1),Delhi Transport Corporation
7931504,511A: Dhaula Kuan → Badarpur Border,Delhi Transport Corporation
7931505,448A: Punjabi Bagh Terminal -> Hamdard Nagar,Delhi Transport Corporation
7931506,865 (1),Unknown Operator
7931508,545 (1),Unknown Operator
7931509,865 (2),Unknown Operator
7931510,864 (2),Unknown Operator
7931511,711: Uttam Nagar Terminal => Sarai Kale Khan ISBT,Unknown Operator
7931512,680Extra: => Dhaula Kuan,Unknown Operator
7931514,511: -> Badarpur Border,Delhi Transport Corporation
7931515,Outer Mudrika Service (2),Unknown Operator
7931516,745 (2),Unknown Operator
7931517,727A (2),Unknown Operator
7931519,727: Dwarka Mor Metro Station => Jawaharlal Nehru Stadium,Unknown Operator
7931520,719 (2),Unknown Operator
7931521,621: Poorvanchal Hostel -> Mori Gate,Delhi Transport Corporation
7931522,545 (2),Unknown Operator
7931523,F-414: => Malai Mandir,Unknown Operator
7931524,727A (1),Unknown Operator
7931525,66 (2),Unknown Operator
7944207,F-404: Moolchand Metro Station => Devli Gaon,Unknown Operator
7944208,724C (1),Unknown Operator
7944209,580: Kendriya Terminal => Ambedkar Nagar Sector 4,Unknown Operator
7944210,544: RK Puram Sector 1 -> Badarpur Border,Unknown Operator
7944211,522SPL: New Delhi Railway Station Gate Number 2 ->,Unknown Operator
7944212,522: Indrapuri (Krishi Kunj) -> Ambedkar Nagar Terminal,Unknown Operator
7944213,521: Ambedkar Nagar Sector 4 -> Karampura Terminal,Unknown Operator
7948117,055 (1),Delhi Transport Corporation
7948118,611EXT (2),Delhi Transport Corporation
7948119,611: Mayur Vihar Phase 3 → Dhaula Kuan,Delhi Transport Corporation
7948120,567: => Kamaruddin Nagar,Delhi Transport Corporation
7948121,543EXT (1),Delhi Transport Corporation
7948122,543: Anand Vihar ISBT →,Delhi Transport Corporation
7948123,542 (2),Delhi Transport Corporation
7948124,518 (1),Delhi Transport Corporation
7948125,507A (1),Delhi Transport Corporation
7948126,507: Okhla Extension -> Dhaula Kuan,Delhi Transport Corporation
7948127,480: DDA Flats Kalkaji -> Kendriya Terminal,Unknown Operator
7948128,479: Badarpur Border -> Punjabi Bagh,Unknown Operator
7948129,469: Ambedkar Nagar Terminal -> Anand Vihar ISBT,Unknown Operator
7948130,451 (1),Unknown Operator
7948131,450: Jal Vihar Terminal -> Anand Parvat,Unknown Operator
7948132,433: Badarpur Border -> New Delhi Railway Station Gate Number 2,Unknown Operator
7948133,416 (1),Unknown Operator
7948134,414 (2),Unknown Operator
7948135,413: Nizamuddin Railway Station -> Mehrauli Terminal,Unknown Operator
7948136,400: Abul Fazl Enclave -> Minto Road Terminal,Unknown Operator
7948137,392EXT (1),Unknown Operator
7948139,Bus 47 (1),Unknown Operator
7948140,MS (+),Unknown Operator
7948141,(+) Teevra Mudrika Service: Punjabi Bagh Terminal,Unknown Operator
7948142,055 (2),Delhi Transport Corporation
7948143,754 (2),Unknown Operator
7948144,567: Kamaruddin Nagar =>,Delhi Transport Corporation
7948145,543: -> Anand Vihar ISBT,Delhi Transport Corporation
7948146,479: Punjabi Bagh -> Badarpur Border,Unknown Operator
7948147,460: Minto Road Terminal -> Badarpur Border,Unknown Operator
7948148,451 (2),Unknown Operator
7948149,450: Anand Parvat -> Jal Vihar Terminal,Unknown Operator
7948150,437 (2),Unknown Operator
7948152,415 (2),Unknown Operator
7948153,413: Mehrauli Terminal -> Nizamuddin Railway Station,Unknown Operator
7948154,411: -> Hamdard Nagar,Unknown Operator
7948155,408 (1),Unknown Operator
7948156,400: Minto Road Terminal -> Abul Fazl Enclave,Unknown Operator
7948157,392EXT (2),Unknown Operator
7948158,323: Dhaula Kuan → Noida Sector 62,Unknown Operator
7948159,48 (2),Unknown Operator
7948160,Bus 47 (2),Unknown Operator
7948161,MS (-),Unknown Operator
7948162,(-) Teevra Mudrika Service: Punjabi Bagh Terminal,Unknown Operator
7948163,416 (2),Unknown Operator
7948164,414 (1),Unknown Operator
7948841,724A (1),Unknown Operator
7948842,467 (1),Unknown Operator
7948843,460A (1),Unknown Operator
7948844,433A-STL (1),Unknown Operator
7948845,398 (1),Unknown Operator
7948847,Bus 47A-STL (1),Unknown Operator
7950907,47A: Indrapuri -> Central Workshop 2,Unknown Operator
7950908,398EXP: => Mayur Vihar Phase 3,Unknown Operator
7950909,543A: Kapashera Border -> Anand Vihar ISBT,Delhi Transport Corporation
7950910,611EXT (1),Delhi Transport Corporation
7950911,543EXT (2),Delhi Transport Corporation
7950912,518: Hazrat Nizamuddin Railway Station,Delhi Transport Corporation
7950913,507A (2),Delhi Transport Corporation
7964843,493: Mayur Vihar Phase 3 -> Mehrauli,Unknown Operator
7964844,067 (1),Delhi Transport Corporation
7964845,043 (1),Delhi Transport Corporation
7964846,541 (1),Unknown Operator
7964847,514 (2),Delhi Transport Corporation
7964848,491 (2),Unknown Operator
7964849,067 (2),Delhi Transport Corporation
7964850,043 (2),Delhi Transport Corporation
7964851,541 (2),Delhi Transport Corporation
7964852,540: Kendriya Terminal -> Tara Apartment,Unknown Operator
7964853,514 (2),Delhi Transport Corporation
7964854,491 (1),Delhi Transport Corporation
7964855,481 (1),Unknown Operator
7964856,427: Mehrauli Terminal -> Nizamuddin Railway Station,Unknown Operator
7964857,417 (2),Delhi Transport Corporation
7965739,440: New Delhi Railway Station Gate Number 2 -> Ambedkar Nagar Terminal,Unknown Operator
7965741,554A: => Rama Krishna Puram Sector 1,Unknown Operator
7965742,774: Badarpur Border -> Dwarka Sector 10 Metro Station,Unknown Operator
7965743,567A: => Mubarakpur Dabas,Delhi Transport Corporation
7965744,874: Badarpur Border -> Uttam Nagar Terminal,Unknown Operator
7965745,529 (2),Unknown Operator
7965746,375 (2),Unknown Operator
7965747,374: Nehru Place Terminal => Nand Nagri Terminal,Unknown Operator
7965748,442: Nehru Place => Azadpur Metro Station,Unknown Operator
7965749,449 (2),Unknown Operator
7965750,447 (2),Unknown Operator
7965751,445: Hamdard Nagar Terminal -> New Delhi Railway Station,Unknown Operator
7965752,440: Ambedkar Nagar Terminal -> New Delhi Railway Station Gate Number 2,Unknown Operator
7965753,435 (2),Unknown Operator
7965754,425: Hamdard Nagar -> Old Delhi Railway Station,Unknown Operator
8011647,765 (2),Delhi Transport Corporation
8011648,615B,Delhi Transport Corporation
8011649,615A,Delhi Transport Corporation
8011650,507EXT (2),Delhi Transport Corporation
8011651,448B (2),Delhi Transport Corporation
8011652,448A: Hamdard Nagar -> Punjabi Bagh Terminal,Delhi Transport Corporation
8011653,764EXT: => Najafgarh Sai Baba Mandir,Delhi Transport Corporation
8011654,629: -> Vasant Vihar CPWD Colony,Unknown Operator
8011655,623B: => Vasant Vihar CPWD Colony,Unknown Operator
8011656,615: Minto Road → Poorvanchal Hostel,Delhi Transport Corporation
8013622,051 (1),Delhi Transport Corporation
8013623,618 (1),Delhi Transport Corporation
8013624,615: Poorvanchal Hostel → Minto Road,Delhi Transport Corporation
8013625,546 (2),Unknown Operator
8013626,538 (1),Unknown Operator
8014347,522A: Hamdard Nagar → Indrapuri,Unknown Operator
8014348,548: Hamdard Nagar Terminal -> Minto Road Terminal,Delhi Transport Corporation
8014349,Gurgaon-Noida (1),Unknown Operator
8014350,BPG: Gurgaon -> Badarpur,Unknown Operator
8014351,717A: Kapashera Border -> Badarpur Border,Unknown Operator
8014352,717: Shahbad Mohammadpur -> Badarpur Border,Unknown Operator
8014353,714 (1),Unknown Operator
8014354,525 (1),Unknown Operator
8014355,463: Mehrauli Terminal -> Kalkaji Depot,Unknown Operator
8014356,34EXT,Unknown Operator
8014357,34: Mehrauli -> Noida Sector 37,Unknown Operator
8028855,448: Hamdard Nagar -> Punjabi Bagh Terminal,Delhi Transport Corporation
