id,name,operator
8034706,894A (1),Unknown Operator
8034707,459 (1),Unknown Operator
8034708,99 (1),Unknown Operator
8034709,504 (1),Unknown Operator
8034710,458 (1),Unknown Operator
8034711,457 (1),Unknown Operator
8034712,454 (1),Unknown Operator
8034713,453 (1),Unknown Operator
8034714,447 (1),Unknown Operator
8034715,438 (1),Unknown Operator
8034716,436 (1),Unknown Operator
8034717,429: Old Delhi Railway Station -> DDA Flats Kalkaji,Unknown Operator
8034718,426 (1),Unknown Operator
8034720,409 (1),Unknown Operator
8034721,405: Old Delhi Railway Station → Badarpur Border,Unknown Operator
8034722,403: Old Delhi Railway Station → Okhla Extension,Unknown Operator
8034723,402: ? → Okhla Extension,Unknown Operator
8034724,274 (1),Unknown Operator
8034725,101 (1),Unknown Operator
8034726,94 (1),Unknown Operator
8034727,482 (1),Unknown Operator
8034728,449 (1),Unknown Operator
8034729,424 (1),Unknown Operator
8034730,446 (1),Unknown Operator
8034731,462 (1),Unknown Operator
8035117,429: DDA Flats Kalkaji -> Old Delhi Railway Station,Unknown Operator
8035118,418A: Badarpur Border -> Shahadra Terminal,Delhi Transit
8035119,405: Badarpur Border → Old Delhi Railway Station,Unknown Operator
8035120,457STL: => Sunehri Pula Depot,Unknown Operator
8035121,405A: Old Delhi Railway Station → Badarpur Border,Unknown Operator
8035122,405STL: => Sunehri Pula Depot,Unknown Operator
8050584,410: Khyala JJ Colony -> Jal Vihar Terminal,Unknown Operator
8050585,47A: Central Workshop 2 -> Indrapuri,Unknown Operator
8050586,375: => Nehru Place,Unknown Operator
8050587,433STL: => Seva Nagar Crossing,Unknown Operator
8050588,623A: => Anand Vihar ISBT,Unknown Operator
8050589,522A: Indrapuri => Hamdard Nagar,Unknown Operator
8055717,990E: => Shivaji Stadium,Unknown Operator
8055718,894: Karampura -> Okhla,Unknown Operator
8055719,894: Okhla -> Karampura,Unknown Operator
8061931,525EX: =>Mehrauli Terminal,Unknown Operator
8061932,34A: Mayur Vihar 3 → Lado Sarai,Unknown Operator
8062453,(+) Outer Mudrika Service: Uttam Nagar Terminal,Unknown Operator
8062454,717A: Badarpur Border -> Kapashera Border,Unknown Operator
8063463,442: Azadpur Metro Station => Nehru Place,Unknown Operator
8067300,970: Avantika -> Jawaharlal Nehru Stadium,Unknown Operator
8073980,578: Safdarjung Terminal → Najafgarh,Unknown Operator
8073981,336 (2),Delhi Transport Corporation
8073982,774: Dwarka Sector 10 Metro Station => Badarpur Border,Unknown Operator
8077071,445A: New Delhi Railway Station Gate Number 2 -> Hamdard Nagar,Unknown Operator
8079874,724: Uttam Nagar Terminal => Nehru Place Terminal,Unknown Operator
8082254,(-) Outer Mudrika Service: Uttam Nagar Terminal,Unknown Operator
8092549,743: Dwarka Sector 21 Metro Station -> Lajpat Nagar,Unknown Operator
8092550,743: Lajpat Nagar -> Dwarka Sector 21 Metro Station,Unknown Operator
8123124,210: => Kendriya Terminal,Unknown Operator
8123125,419Extra,Unknown Operator
8123126,717B: IGI Airport T-2 -> Badarpur Border,Unknown Operator
8123127,493: Mehrauli -> Mayur Vihar Phase 3,Unknown Operator
8126650,740B: ? -> Bindapur Terminal,Unknown Operator
8126651,391: Kalyanpuri -> Kendriya Terminal,Unknown Operator
8126652,355: => Anand Parvat,Unknown Operator
8126653,405A: Badarpur Border → Old Delhi Railway Station,Unknown Operator
8135254,502: Mehrauli Terminal -> Old Delhi Railway Station,Unknown Operator
8188441,34A: Lado Sarai → Mayur Vihar 3,Unknown Operator
8188442,717B: Badarpur Border -> IGI Airport T-2,Unknown Operator
8189779,469: Anand Vihar ISBT -> Ambedkar Nagar Terminal,Unknown Operator
8195973,460: Badarpur Border -> Minto Road Terminal,Unknown Operator
8195974,605: Safdarjung Hospital => Vasant Kunj C-9,Unknown Operator
8197603,729B: => Airport T-3,Unknown Operator
8197604,185: => Kendriya Terminal,Unknown Operator
8197605,181A: Jahangirpuri E-Block -> Nizamuddin Railway Station,Delhi Transport Corporation
8197606,RL-77B: => Madhu Vihar,Unknown Operator
8202257,781: Dwarka Sector 16C => New Delhi Railway Station Gate Number 2,Unknown Operator
8202258,780: Indira Gandhi International Airport T2 => New Delhi Railway Station Gate Number 2,Unknown Operator
8202259,181A: Nizamuddin Railway Station -> Jahangirpuri E-Block,Delhi Transport Corporation
8206274,543B: IGI Airport -> Anand Vihar ISBT,Delhi Transport Corporation
8208910,803: => Madhu Vihar,Unknown Operator
8208911,440A: => Minto Road,Unknown Operator
8208912,310: Jheel Terminal -> Indrapuri (Krishi Kunj),Unknown Operator
8221531,8: Noida Sector 32 => Badarpur Border,Unknown Operator
8221532,8: Badarpur Border => Noida Sector 32,Unknown Operator
8222917,944: Sultanpuri => Kendriya Terminal,Unknown Operator
8222918,944: Kendriya Terminal => Sultanpuri,Unknown Operator
8222919,810: Kendriya Terminal => Uttam Nagar,Unknown Operator
8222920,810: Uttam Nagar => Kendriya Terminal,Unknown Operator
8222921,390: Mayur Vihar Phase 3 => Kendriya Terminal,Unknown Operator
8229055,Gurgaon → Anand Vihar ISBT,Unknown Operator
8234263,344: ? -> Kalyanpuri,Delhi Transport Corporation
8235171,624A: Munirka -> Anand Vihar ISBT,Unknown Operator
8238140,770: => Delhi Secretariat,Unknown Operator
8238141,349: Mayur Vihar Phase 2 -> Kendriya Terminal,Unknown Operator
8238142,378: Mayur Vihar Phase 3 -> Kendriya Terminal,Unknown Operator
8238143,403: Okhla Extension → Old Delhi Railway Station,Unknown Operator
8250861,874: Uttam Nagar Terminal -> Badarpur Border,Unknown Operator
8250862,392: Dhaula Kuan → Noida Sector 62,Unknown Operator
8250863,Anand Vihar ISBT → Gurgaon,Unknown Operator
8250864,724Extra: => Uttam Nagar,Delhi Transport Corporation
8250865,984: -> Avantika,Delhi Transport Corporation
8250866,588: => Uttam Nagar,Delhi Transport Corporation
8250867,569: => Sultanpuri,Delhi Transport Corporation
8250868,543A: Anand Vihar ISBT -> Kapashera Border,Delhi Transport Corporation
8253430,492: Nehru Place -> Noida Sector 62,Unknown Operator
8253431,576A: => Mubarakpur,Delhi Transport Corporation
8255865,966: Nizamuddin Railway Station => Nangloi,Delhi Transport Corporation
8255866,794: Nizamuddin Railway Station -> Manglapuri,Delhi Transport Corporation
8255867,966: Nangloi => Nizamuddin Railway Station,Delhi Transport Corporation
8255868,794: Manglapuri -> Nizamuddin Railway Station,Delhi Transport Corporation
8264758,764: Najafgarh Sai Baba Mandir → Nehru Place,Delhi Transport Corporation
8267620,429STL: => Seva Nagar Crossing,Unknown Operator
8267621,479STL: => Seva Nagar Crossing,Unknown Operator
8267622,8A: ? -> Nehru Place,Unknown Operator
8267623,236: Anand Vihar ISBT -> Nangloi JJ Colony,Delhi Transport Corporation
8286645,473: Anand Vihar ISBT -> Badarpur Border,Unknown Operator
8286646,473: Badarpur Border -> Anand Vihar ISBT,Unknown Operator
8321465,BPG: Badarpur -> Gurgaon,Unknown Operator
8406346,479A: Badarpur Border -> Wazirpur,Unknown Operator
8406347,422: Badarpur Border => Kashmere Gate ISBT,Unknown Operator
8406348,F-403A: Nehru Place -> Badarpur Border,Unknown Operator
8406758,540A: Tara Apartment -> Safdarjung Terminal,Unknown Operator
8413553,DS-3: => Dwarka Sector 19 Pocket 2,Unknown Operator
8414534,F-839A: Kapashera Border -> Uttam Nagar,Unknown Operator
8414535,F-839A: Uttam Nagar -> Kapashera Border,Unknown Operator
8414536,F-701: Dhaula Kuan -> Kapashera Border,Unknown Operator
8414537,F-701: Kapashera Border -> Dhaula Kuan,Unknown Operator
8414538,718: Uttam Nagar Terminal => Kapashera Border,Unknown Operator
8414539,718: Kapashera Border => Uttam Nagar Terminal,Unknown Operator
8414540,850: Kendriya Terminal => Najafgarh Sai Baba Mandir,Delhi Transport Corporation
8414541,850: Najafgarh Sai Baba Mandir => Kendriya Terminal,Delhi Transport Corporation
8415555,540A: Safdarjung Terminal → Tara Apartment,Unknown Operator
8418592,605: Vasant Kunj C-9 => Safdarjung Hospital,Unknown Operator
8418593,505: Mehrauli -> Kamla Market,Delhi Transport Corporation
8433669,(-) Yamuna Mudrika Service: Mori Gate Terminal,Unknown Operator
8456948,Karol Bagh → Gurgaon,Delhi Transport Corporation
8460859,323: Noida Sector 62 → Dhaula Kuan,Delhi Transport Corporation
8464887,OC Bus 55: Santa Ana - Newport Beach,Orange County Transportation Authority
8464889,553 - Anaheim to Costa Mesa,Orange County Transportation Authority
8464890,OC Bus 53: Anaheim - Irvine,Orange County Transportation Authority
8465987,OC Bus 72,Orange County Transportation Authority
8467886,721: Kashmere Gate ISBT => Manglapuri Terminal,Delhi Transport Corporation
8468273,OC Bus 463: Santa Ana Regional Transportation Intermodal Center - Hutton Centre (Discontinued),Orange County Transportation Authority
9297046,234: Harsh Vihar,Unknown Operator
9297930,(+) Teevra Mudrika Service: Lajpat Nagar,Unknown Operator
9297931,(-) Teevra Mudrika Service: Lajpat Nagar,Unknown Operator
9306318,729: Mori Gate Terminal → Kapashera Border,Unknown Operator
9306319,405: Mori Gate Terminal → Badarpur Border,Unknown Operator
9306320,729: Kapashera Border → Mori Gate Terminal,Unknown Operator
9306321,405: Badarpur Border → Mori Gate Terminal,Unknown Operator
9306322,221: Mori Gate Terminal -> Anand Vihar ISBT,Unknown Operator
9306323,211: Mori Gate Terminal → Mayur Vihar Phase 3,Unknown Operator
9436071,212: Nand Nagari Terminal → Anand Parvat,Unknown Operator
9436072,212: Anand Parvat → Nand Nagari Terminal,Unknown Operator
9444906,410A: Subhash Nagar Crossing -> Jal Vihar Terminal,Unknown Operator
9444907,410A: Jal Vihar Terminal → Subhash Nagar Crossing,Unknown Operator
9455279,311A: Ambedkar Nagar Terminal -> Anand Vihar ISBT,Unknown Operator
9455280,311A: Anand Vihar ISBT → Ambedkar Nagar Terminal,Unknown Operator
9497268,543B: Anand Vihar ISBT → IGI Airport,Delhi Transport Corporation
9581809,740EX: Uttam Nagar Terminal → Anand Vihar ISBT,Unknown Operator
9581810,740EX: Anand Vihar ISBT → Uttam Nagar Terminal,Unknown Operator
9600215,Unnamed Route,Unknown Operator
9600216,Unnamed Route,Unknown Operator
9600217,Unnamed Route,DTC
9600218,Unnamed Route,Delhi Transport Corporation
9600219,Unnamed Route,Delhi Transport Corporation
9600220,Unnamed Route,Delhi Transport Corporation
9600221,418A: Shahdara -> Badarpur Border,Delhi Transit
9600222,623: Shahdara Terminal -> Vasant Vihar CPWD,Delhi Transport Corporation
9600223,221: Anand Vihar ISBT -> Mori Gate Terminal,Delhi Transport Corporation
9600341,443: Shahdara -> Badarpur Border,Delhi Transport Corporation
9600342,246: Seemapuri => Shivaji Stadium,Delhi Transport Corporation
9600420,33: Bhajanpur => Noida Sector 37,Delhi Transport Corporation
9603177,319A: Shahdara Terminal -> Noida Sector 37,Delhi Transport Corporation
9603178,319: Shahdara -> Noida Sector 32,Delhi Transport Corporation
9603179,214: Seemapuri => Kamla Market,Delhi Transport Corporation
9603180,221A: Mori Gate -> Jhilmil Colony,Delhi Transport Corporation
9603181,214A: Anand Parbat => Seema Puri,Delhi Transport Corporation
9603182,214CL: Ajmeri Gate => Dilshad Garden Depot,Delhi Transport Corporation
9603184,236CL: Anand Vihar ISBT => Kamruddin Nagar,Delhi Transport Corporation
9603185,236Extn. : Anand Vihar ISBT => Savda Ghevra JJ Colony,Delhi Transport Corporation
9603186,246CL: Shivaji Stadium => Dilshad Garden Depot,Delhi Transit
9603219,273: Shivaji Stadium => Indira Puri Loni Border,Delhi Transport Corporation
9603220,317: Shivaji Stadium => Shahdara,Delhi Transport Corporation
9603221,418Ext: Shahdara=> Kushak Nallah Depot,Delhi Transit
9621986,341: Anand Vihar ISBT <=>Holambi Kalan JJ Colony,Delhi Transport Corporation
9621987,623CL: Shahdara <=> C.P.W.D. Colony Vasant Vihar,Delhi Transport Corporation
9621989,623B: Shahdara <=>Vasant Kunj C-9,Delhi Transport Corporation
9621990,623EXT: Shahdara <=> C.P.W.D. Colony Vasant Vihar,Delhi Transport Corporation
9649616,492: Noida Sector 62 -> Nehru Place,Unknown Operator
10103223,ML-82: Badarpur Border -> Mehrauli Terminal,Unknown Operator
10103224,ML-82: Mehrauli Terminal -> Badarpur Border,Unknown Operator
10103570,984A: Avantika ->,Delhi Transport Corporation
10103571,984A: -> Avantika,Delhi Transport Corporation
10115146,624A: Anand Vihar ISBT -> Munirka,Unknown Operator
10115147,307: Kamla Market -> Trilokpuri 27 Block,Unknown Operator
10115148,307: Trilokpuri 27 Block -> Kamla Market,Unknown Operator
10115149,118EXT: Mori Gate -> Mayur Vihar Phase 3,Unknown Operator
10115150,118EXT: Mayur Vihar Phase 3 -> Mori Gate,Unknown Operator
10143374,348: Mayur Vihar Phase 3 -> Mori Gate,Unknown Operator
10143375,348: Mori Gate -> Mayur Vihar Phase 3,Unknown Operator
10143376,336A: New Seemapuri -> ?,Delhi Transport Corporation
10143377,336A: ? -> New Seemapuri,Delhi Transport Corporation
10143378,309: Anand Parvat -> Kalyanpuri,Unknown Operator
10143379,309: Kalyanpuri -> Anand Parvat,Unknown Operator
10143380,8A: Nehru Place -> ?,Unknown Operator
10143381,Unnamed Route,Unknown Operator
10143382,Unnamed Route,Unknown Operator
10164598,971: Anand Vihar ISBT -> Avantika,Delhi Transport Corporation
10164599,236: Nangloi JJ Colony -> Anand Vihar ISBT,Delhi Transport Corporation
10164600,165A: Anand Vihar ISBT -> Shahbad Dairy,Unknown Operator
10164601,GL-23: Anand Vihar ISBT -> Kashmiri Gate,Unknown Operator
10164603,165: Anand Vihar ISBT -> Shahbad Dairy,Unknown Operator
10220581,344: Kalyanpuri -> ?,Delhi Transport Corporation
10220582,89 (2),Delhi Transport Corporation
10220583,89 (1),Delhi Transport Corporation
10220584,326 (1),Delhi Transport Corporation
10220585,326 (1),Delhi Transport Corporation
10220586,335 (1),Delhi Transport Corporation
10319678,479A: Wazirpur Depot -> Badarpur Border,Unknown Operator
10330544,F-403A: Badarpur Border -> Nehru Place,Unknown Operator
10330545,F-253A: Seelampur Metro -> Mayur Vihar Phase 3,Unknown Operator
10330546,F-253A: Mayur Vihar Phase 3 -> Seelampur Metro,Unknown Operator
10335827,610: RK Puram Sector 1 -> Wazirpur Depot,Unknown Operator
10335828,610: Wazirpur Depot -> RK Puram Sector 1,Unknown Operator
10477215,166: Nizamuddin Railway Station -> ?,Delhi Transport Corporation
10477216,166: ? -> Nizamuddin Railway Station,Delhi Transport Corporation
10485301,539A: Najafgarh -> Ambedkar Nagar Terminal,Unknown Operator
10485302,539A: Ambedkar Nagar Terminal -> Najafgarh,Unknown Operator
10485303,539: Mehrauli Terminal ->,Unknown Operator
10488424,411: Hamdard Nagar ->,Unknown Operator
10488425,445A: Hamdard Nagar Terminal -> New Delhi Railway Station,Unknown Operator
10533277,460: Minto Road Terminal -> Badarpur Border,Unknown Operator
10541669,ML-81: Lado Sarai Terminal -> Modi Mill,Unknown Operator
10541670,ML-58: Lado Sarai Terminal -> Bhati Mines,Unknown Operator
10620378,588: Uttam Nagar ->,Delhi Transport Corporation
10662625,392: Noida Sector 62 -> Dhaula Kuan,Unknown Operator
10740650,306: Kalyanpuri -> Nehru Place,Unknown Operator
10740651,306: Nehru Place -> Kalyanpuri,Unknown Operator
10766213,347: Noida Sector 34/51 -> Kashmere Gate,Unknown Operator
10766214,347: Kashmere Gate -> Noida Sector 34/51,Unknown Operator
10790072,740B: Bindapur Terminal -> ?,Unknown Operator
10803127,118: Mori Gate,Unknown Operator
10803128,957: Rohini Sector 22,Unknown Operator
10803129,505: Kamla Market -> Mehrauli,Delhi Transport Corporation
10803130,715: Mehrauli -> Dwarka Sector 2 Bus Depot,Delhi Transport Corporation
10813295,ML-58: Bhati Mines -> Lado Sarai Terminal,Unknown Operator
11232098,623: Vasant Vihar CPWD -> Shahdara Terminal,"Delhi Transport Corporation, Delhi Transit"
13153086,307: Kamla Market -> Trilokpuri 27 Block,Unknown Operator
13153087,307: Trilokpuri 27 Block -> Kamla Market,Unknown Operator
13199963,148,Unknown Operator
13199964,148: Old Delhi Railway Station,Unknown Operator
13199965,500: Saket -> New Delhi Railway Station Gate #2,Unknown Operator
13219831,906: Kashmere Gate ISBT -> West Enclave Terminal,Delhi Transport Corporation
13219832,906: West Enclave Terminal -> Kashmere Gate ISBT,Delhi Transport Corporation
13219833,905A: ISBT Nityanand Marg,Delhi Transport Corporation
13219834,805A: Kashmere Gate ISBT,Delhi Transport Corporation
13219835,721: Manglapuri Terminal -> Kashmere Gate ISBT,Delhi Transport Corporation
13219836,218: Babarpur Extension,Unknown Operator
13219837,208: Harsh Vihar,Unknown Operator
13219838,207: Dhaula Kuan -> Bhajanpura,Unknown Operator
13219839,199: Old Delhi Railway Station,Unknown Operator
13219840,197: Old Delhi Railway Station,Unknown Operator
13219841,194: Old Delhi Railway Station,Unknown Operator
13219842,144: Old Delhi Railway Station,Unknown Operator
13219843,142: Old Delhi Railway Station,Unknown Operator
13219844,141: Old Delhi Railway Station,Unknown Operator
13219845,137: Old Delhi Railway Station,Unknown Operator
13219846,131: Narela,Unknown Operator
13219847,128: Mori Gate,Unknown Operator
13219848,125EXT: Anand Vihar ISBT,Unknown Operator
13219849,109: Old Delhi Railway Station,Unknown Operator
13219850,102: Old Delhi Railway Station,Unknown Operator
13310511,Unnamed Route,Unknown Operator
13373549,Unnamed Route,Unknown Operator
13373550,Unnamed Route,Unknown Operator
13382679,Unnamed Route,Unknown Operator
13382680,Unnamed Route,Unknown Operator
13388413,281: New Seemapuri -> Kendriya Terminal,Unknown Operator
13388414,281: Kendriya Terminal -> New Seemapuri,Unknown Operator
13391955,Unnamed Route,Unknown Operator
13394582,349: Mayur Vihar Phase 2 -> Shivaji Stadium,Unknown Operator
13394583,349: Shivaji Stadium -> Mayur Vihar Phase 3,Unknown Operator
13394584,282,Unknown Operator
13394585,706A,Unknown Operator
13796247,307A: New Delhi Railway Station Gate #1,Unknown Operator
13796248,88: Jai Mata Market Tri Nagar Terminal -> Anand Vihar ISBT,Unknown Operator
13863814,MC-137D: Shastri Park Metro Station -> Mayur Vihar Phase 3,Unknown Operator
13863815,MC-137U: Mayur Vihar Phase 3 -> Shastri Park Metro Station,Unknown Operator
13873912,993: West Enclave/Sansad Vihar Terminal,Unknown Operator
13887643,307A: New Delhi Railway Station Gate #1 -> ?,Unknown Operator
13989320,39,Unknown Operator
13989321,39,Unknown Operator
14105563,Gurgaon → Karol Bagh,Delhi Transport Corporation
14162548,88: Anand Vihar ISBT -> Jai Mata Market Tri Nagar Terminal,Unknown Operator
14191706,890: Hastsal Village LIG Flats,Delhi Transport Corporation
14191707,890: Kendriya Terminal,Delhi Transport Corporation
14206511,GL-23: Kashmere Gate ISBT -> Anand Vihar ISBT,Unknown Operator
15089771,Unnamed Route,Unknown Operator
15089772,Unnamed Route,Unknown Operator
15347106,861: Jahangirpuri E-Block -> Tilak Nagar,Unknown Operator
15347237,356: Mayur Vihar Phase 3 -> Mehrauli Terminal,Unknown Operator
15347238,356: Mehrauli Terminal -> Mayur Vihar Phase 3,Unknown Operator
15631422,OC Bus 53: Irvine - Anaheim,Orange County Transportation Authority
15674038,ML-96S: Majlis Park Metro Station,Unknown Operator
15674039,129: Old Delhi Railway Station,Unknown Operator
15674040,139: Bhalaswa JJ Colony,Unknown Operator
15677592,352: Wazirpur JJ Colony,Unknown Operator
15704977,ML-96U: Ramdev Chowk Narela -> Azadpur Terminal,Unknown Operator
15882128,112: Azadpur Terminal,Unknown Operator
15882129,103: Old Delhi Railway Station,Unknown Operator
16114462,103,Unknown Operator
17059061,EXP4: IGI Airport -> Kashmere Gate,Unknown Operator
17497382,F-826-A: Bawana → Rithala,Unknown Operator
17497383,F-826-A: Rithala → Bawana,Unknown Operator
17712631,OC Bus 55: Newport Beach - Santa Ana,Orange County Transportation Authority
18130139,207: Bhajanpura -> Dhaula Kuan,Unknown Operator
18303500,T - Turlock Commuter,Merced Transit Authority
